,RID,aspects,original,sentences
506,114,0,They we had rissimissi rajma and mixed veggies.,rissimissi rajma mixed veggies .
507,114,0,alongwith standard breads.,alongwith standard breads .
508,114,0,"Nothing much to write about the tastes !The waiters were available on call, no issues with that.","nothing much write tastes ! waiters available call , issues ."
509,114,0,Asked for change of vinergared onions which they changed to ringed onions.,asked change vinergared onions changed ringed onions .
510,114,0,No complaints with that.,complaints .
511,114,0,"The prices were okay, not exorbitant.","prices okay , exorbitant ."
512,114,0,"But, yes, expectations about the quality were not met, fully.
",", yes , expectations quality met , fully ."
513,115,0,"
I had come to this hotel with my wife with an intention to dine out.",come hotel wife intention dine .
514,115,-1,Her preference is non-veg meal if we are to dine out.,preference non-veg meal dine .
515,115,0,"But, to her disappointment this starred hotel served only vegetarian food.",", disappointment starred hotel served vegetarian food ."
516,115,2,But her disappointment was soon to turn into a pleasant surprise as we were served some real homely food that was appeasing to the taste and yet light on the stomach.,disappointment soon turn pleasant surprise served real homely food appeasing taste yet light stomach .
517,115,0,"We are now a regular to this hotel that also offers veg buffet.
",regular hotel also offers veg buffet .
518,116,0,"
THis is a only 5 star rated property in NCR having Pure Veg.",5 star rated property ncr pure veg .
519,116,0,Food quality is good.,food quality good .
520,116,0,"Pool side restaurant ambience is very good and one can enjoy with family.
",pool side restaurant ambience good one enjoy family .
521,117,2,"
During the festive period it's very hard for non vegetarian animals like me to find a decent place to eat and a vegetarian option has never appealed .....till we went to celebrate my wife's birthday just last night.",festive period hard non vegetarian animals like find decent place eat vegetarian option never appealed ... ..till went celebrate wife birthday last night .
522,117,-1,Could not wait to write a review as despite my apprehensions earlier...,could wait write review despite apprehensions earlier ...
523,117,2,"I fell in love with great ambience, customer care culture...and great food.","fell love great ambience , customer care culture ... great food ."
524,117,2,We chose the buffet restaurant and were amazed at the choice of food.. Italian..Chinese..indian..and European food in only vegetarian options shocked me in a pleasant way.,chose buffet restaurant amazed choice food.. italian..chinese..indian..and european food vegetarian options shocked pleasant way .
525,117,2,It's very rare that veg food surprises me... And I must say I didn't even miss my usual non veg delights.. A must try for all...,rare veg food surprises ... must say n't even miss usual non veg delights.. must try ...
526,117,-1,I rate it a total 5* experience...,rate total 5* experience ...
527,117,0,"Restaurant manager was extremely courteous.
",restaurant manager extremely courteous .
528,118,2,"
We went for the celebration of my birthday in the restaurant there... TATVA... food is amazing, service is brilliant, ambiance is awesome... smiling faces of the staff adds to the hospitality and gives a feel good factor in eating...
","went celebration birthday restaurant ... tatva ... food amazing , service brilliant , ambiance awesome ... smiling faces staff adds hospitality gives feel good factor eating ..."
529,119,0,"
I booked four rooms at the hotel, and had the most terrible experience.","booked four rooms hotel , terrible experience ."
530,119,-1,I was woken up at 7.00 AM in the morning asking to vacate the room!,woken 7.00 morning asking vacate room !
531,119,0,"I had paid for full in advance?Checkout time is supposed to be 11.00 AM, so why would I be vacating the room at 7.00 AM?","paid full advance ? checkout time supposed 11.00 , would vacating room 7.00 ?"
532,119,-1,"And why should I wake up at 7.00AM in the morning?
",wake 7.00am morning ?
533,120,0,"
I was there on my wedding anniversary dinner.",wedding anniversary dinner .
534,120,0,It was pool side very nice ambiance.,pool side nice ambiance .
535,120,-1,Food we ordered was not up to the mark.,food ordered mark .
536,120,0,We complain to the manager that food is un-cooked.,complain manager food un-cooked .
537,120,0,"which we were not able to eat.So i will vote only for Ambiance.
",able eat.so vote ambiance .
538,121,0,"
I visit here for celebrating my son birthday They people are increasing the rates every time and decreasing the food content in buffe menu as they have limited amount of fruits same menu repeats every time I didn't find any change in menu since last 3 years ice cream flavours are only 5 earlier they were 15 and excuse was that refrigerator is not working is this happens in 5 starPrices are 2800 for two with taxes please think and then go
",visit celebrating son birthday people increasing rates every time decreasing food content buffe menu limited amount fruits menu repeats every time n't find change menu since last 3 years ice cream flavours 5 earlier 15 excuse refrigerator working happens 5 starprices 2800 two taxes please think go
539,122,-1,Awesome food .. Great service ..a great combination of North Indian and Chinese cuisine .,awesome food .. great service ..a great combination north indian chinese cuisine .
540,122,1,One has to try the chilly garlic chicken noodles .,one try chilly garlic chicken noodles .
541,122,0,#foodtodiefor#foodporn#foodgasm#come to try the Chinese and I can bet you will come here every time,# foodtodiefor # foodporn # foodgasm # come try chinese bet come every time
542,123,-1,"Good, tasty and amazing food.","good , tasty amazing food ."
543,123,0,quality of food is high quality of service and .,quality food high quality service .
544,123,2,Food the yummilicious food :-),food yummilicious food : - )
545,124,0,Really Loved Chicken Achari Rolls .,really loved chicken achari rolls .
546,125,0,"From the cutlet to pastry, from the dessert to the main course, the food is as delicious as it looks and is worth every penny spent.","cutlet pastry , dessert main course , food delicious looks worth every penny spent ."
547,125,0,Not to miss.,miss .
548,125,1,This place is worth a try.,place worth try .
549,125,0,Or twice.,twice .
550,125,-1,Or even more than that.,even .
551,126,1,Really amazing north Indian n Chinese cuisine... One has to try out Alisha's kitchen for mouth watering and delicious dishes.,really amazing north indian n chinese cuisine ... one try alisha kitchen mouth watering delicious dishes .
552,126,2,Alisha's kitchen... definitely worth a try...thumbs up!,alisha kitchen ... definitely worth try ... thumbs !
553,127,2,Food is anonymously tasty!,food anonymously tasty !
554,127,0,.. Cant expect better.,.. cant expect better .
555,128,2,The foood is awesommmee.... from the taste to its presentation.... it is just amazing!,foood awesommmee ... . taste presentation ... . amazing !
556,128,0,Way to go Alisha's Kitchen... :),way go alisha kitchen ... : )
557,129,2,amazingggggggggggggggg food!,amazingggggggggggggggg food !
558,130,2,"The chicken fry and achari chicken are worth the buck , totally scrumptious and a feast for treat ..... Great experience !","chicken fry achari chicken worth buck , totally scrumptious feast treat ... .. great experience !"
559,131,2,Great food at reasonable prices..,great food reasonable prices..
560,131,2,Especially for students ...,especially students ...
561,132,2,Good tasty food & also very reasonable.!!,good tasty food & also reasonable. ! !
562,132,2,Thumbs Up!!,thumbs ! !
563,132,0,:D :),: d : )
564,133,-1,Amazingly fantastical food.,amazingly fantastical food .
565,133,0,I ordered  for chilli garlic chicken chowein and chicken Manchurian.,ordered chilli garlic chicken chowein chicken manchurian .
566,133,0,Was really satisfied with Quality of food.,really satisfied quality food .
567,133,0,I Took away my order and found dat the area where the food was being good looked clean n hygienic.,took away order found dat area food good looked clean n hygienic .
568,133,2,Thumbs up to alisha's  kitchen for providing delicious food hygienically.,thumbs alisha kitchen providing delicious food hygienically .
569,134,2,Amazing food...quality and quantity is fab....specially tandoori items and butter chicken....great job Mr owner....,amazing food ... quality quantity fab ... specially tandoori items butter chicken ... great job mr owner ... .
570,135,0,Indian food too good :),indian food good : )
571,136,2,Amazing food must try.... Clean and hygienic... Love the taste....  Good quality... Rolls r amazing...,amazing food must try ... . clean hygienic ... love taste ... . good quality ... rolls r amazing ...
572,137,-1,Try Chilli garlic chili chicken chowmein .,try chilli garlic chili chicken chowmein .
573,137,-1,Its simply amazing .,simply amazing .
